number;quantity;;;;;;;;;;;;;
29;64;;;;;;;;;;;;;
30;70;;;;;;;;;;;;;
31;35;;;;;;;;;;;;;
32;38;;;;;;;;;;;;;
33;45;;;;;;;;;;;;;
34;50;;;;;;;;;;;;;
35;47;;;;;;;;;;;;;
36;36;;;;;;;;;;;;;
37;30;;;;;;;;;;;;;
38;36;;;;;;;;;;;;;
39;30;;;;;;;;;;;;;
40;34;;;;;;;;;;;;;
41;22;;;;;;;;;;;;;
42;18;;;;;;;;;;;;;
43;27;;;;;;;;;;;;;
44;19;;;;;;;;;;;;;
45;15;;;;;;;;;;;;;
46;25;;;;;;;;;;;;;
47;14;;;;;;;;;;;;;
48;9;;;;;;;;;;;;;
49;20;;;;;;;;;;;;;
50;20;;;;;;;;;;;;;
51;12;;;;;;;;;;;;;
52;10;;;;;;;;;;;;;
53;12;;;;;;;;;;;;;
54;9;;;;;;;;;;;;;
55;9;;;;;;;;;;;;;
56;12;;;;;;;;;;;;;
57;11;;;;;;;;;;;;;
58;9;;;;;;;;;;;;;
59;9;;;;;;;;;;;;;
60;7;;;;;;;;;;;;;
61;5;;;;;;;;;;;;;
62;5;;;;;;;;;;;;;
64;12;;;;;;;;;;;;;
65;3;;;;;;;;;;;;;
67;4;;;;;;;;;;;;;
68;2;;;;;;;;;;;;;
69;4;;;;;;;;;;;;;
70;1;;;;;;;;;;;;;
72;3;;;;;;;;;;;;;
74;1;;;;;;;;;;;;;
75;1;;;;;;;;;;;;;
76;2;;;;;;;;;;;;;
78;2;;;;;;;;;;;;;
80;1;;;;;;;;;;;;;
81;1;;;;;;;;;;;;;
91;1;;;;;;;;;;;;;
95;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;
-105;1;;;;;;;;;;;;;
-100;1;;;;;;;;;;;;;
-98;3;;;;;;;;;;;;;
-97;1;;;;;;;;;;;;;
-96;1;;;;;;;;;;;;;
-94;1;;;;;;;;;;;;;
-93;1;;;;;;;;;;;;;
-92;3;;;;;;;;;;;;;
-91;4;;;;;;;;;;;;;
-90;2;;;;;;;;;;;;;
-89;2;;;;;;;;;;;;;
-87;1;;;;;;;;;;;;;
-86;1;;;;;;;;;;;;;
-85;1;;;;;;;;;;;;;
-84;1;;;;;;;;;;;;;
-83;1;;;;;;;;;;;;;
-80;1;;;;;;;;;;;;;
-79;4;;;;;;;;;;;;;
-78;6;;;;;;;;;;;;;
-77;4;;;;;;;;;;;;;
-76;6;;;;;;;;;;;;;
-75;5;;;;;;;;;;;;;
-74;6;;;;;;;;;;;;;
-73;6;;;;;;;;;;;;;
-72;7;;;;;;;;;;;;;
-71;8;;;;;;;;;;;;;
-70;12;;;;;;;;;;;;;
-69;7;;;;;;;;;;;;;
-68;7;;;;;;;;;;;;;
-67;6;;;;;;;;;;;;;
-66;11;;;;;;;;;;;;;
-65;9;;;;;;;;;;;;;
-64;18;;;;;;;;;;;;;
-63;6;;;;;;;;;;;;;
-62;8;;;;;;;;;;;;;
-61;15;;;;;;;;;;;;;
-60;16;;;;;;;;;;;;;
-59;16;;;;;;;;;;;;;
-58;18;;;;;;;;;;;;;
-57;17;;;;;;;;;;;;;
